[2026-05-26 17:35:11] VIOLATION: .antigravity/walkthroughs/main_walkthrough.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 17:35:21] VIOLATION: .antigravity/topography.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 17:35:51] VIOLATION: .antigravity/topography.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 17:36:42] VIOLATION: .antigravity/topography.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 17:52:27] VIOLATION: .antigravity/topography.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 17:52:27] VIOLATION: .antigravity/dev/ROADMAP.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 18:58:43] VIOLATION: src/architrave/mcp/mcp_config.json | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 20:32:01] VIOLATION: .vscode/settings.json | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-26 20:32:12] VIOLATION: .vscode/settings.json | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:27] VIOLATION: src/clotho/bridge/fs.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:28] VIOLATION: src/clotho/bridge/fs.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:38] VIOLATION: src/lachesis/file_watchdog.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:38] VIOLATION: src/lachesis/snapshot_manager.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:48] VIOLATION: src/architrave/a2a/server.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:49] VIOLATION: src/lachesis/file_watchdog.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:59] VIOLATION: src/architrave/sovereign_middleware.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:59] VIOLATION: src/atropos/context_cache_middleware.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:57:59] VIOLATION: src/clotho/ergon/symmachia.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-27 23:58:09] VIOLATION: src/atropos/token_budget_middleware.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:05:44] VIOLATION: src/atropos/token_budget_middleware.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:05:44] VIOLATION: src/lachesis/file_watchdog.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:06:04] VIOLATION: src/architrave/sovereign_middleware.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:06:04] VIOLATION: src/architrave/a2a/server.py | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: run_morpheus.bat | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: scratch_book.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: scratch_book.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: .antigravity/rules.json | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: .antigravity/SYSTEM_REPORT.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: .antigravity/tools.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:42] VIOLATION: .antigravity/tools_new.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:43] VIOLATION: .antigravity/dev/planning.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:43] VIOLATION: .antigravity/dev/TASKS.md | Unauthorized mutation (Hash mismatch) | Rollback executed.
[2026-05-28 00:19:43] VIOLATION: agent/a2a_registry.json | Unauthorized mutation (Hash mismatch) | Rollback executed.
